"ID","Name","Color"
"150","Dusty Rose Ultra Very Dark","RGBColor[0.7130735144994178, 0.06722969151153689, 0.2962051307464216]"
"151","Dusty Rose Very Light","RGBColor[0.9719271241541565, 0.8167943631859975, 0.8454660447377095]"
"152","Shell Pink Medium Light","RGBColor[0.8784454199481958, 0.6441310270063328, 0.627363113788062]"
"153","Violet Very Light","RGBColor[0.9099078797089255, 0.7993660850873694, 0.8779148665446477]"
"154","Grape Very Dark","RGBColor[0.303499830191294, 0.15009533554465096, 0.20179121778435796]"
"155","Blue Violet Medium Dark","RGBColor[0.5527220215236172, 0.4959011897860782, 0.7010600577652064]"
"156","Blue Violet Medium Light","RGBColor[0.5676333261110638, 0.5887278066331126, 0.7644463194556792]"
"157","Cornflower Blue Very Light","RGBColor[0.7287493169028201, 0.7678731042904277, 0.885103578363007]"
"158","Cornflower Blue Medium Very Dark","RGBColor[0.23617035239046102, 0.24947460893590784, 0.4410773398389901]"
"159","Blue Gray Light","RGBColor[0.7417183445202584, 0.7512834511972102, 0.8381631504007827]"
"160","Blue Gray Medium","RGBColor[0.5560570266522777, 0.5782936828230144, 0.7143798837757818]"
"161","Blue Gray","RGBColor[0.39784096066019264, 0.41461129974969957, 0.577117586627748]"
"162","Blue Ultra Very Light","RGBColor[0.8042680207091218, 0.8937762270141425, 0.9281164322871404]"
"163","Celadon Green Medium","RGBColor[0.30975649310833536, 0.502694833478859, 0.37208249689201706]"
"164","Forest Green Light","RGBColor[0.7550695225031069, 0.8639119590434433, 0.6976130497033213]"
"165","Moss Green Very Light","RGBColor[0.9178562264124419, 0.9367483690201033, 0.5333433734724925]"
"166","Moss Green Medium Light","RGBColor[0.7134910110311976, 0.7371011524702985, 0.23270402954941516]"
"167","Yellow Beige Very Dark","RGBColor[0.5705981094839567, 0.41247309373913066, 0.2241119626751379]"
"168","Pewter Very Light","RGBColor[0.7809552452992965, 0.7869945371758522, 0.7978048290345158]"
"169","Pewter Light","RGBColor[0.5152217277926623, 0.5231331381411383, 0.49724132434917234]"
"208","Lavender Very Dark","RGBColor[0.5497835429007392, 0.3319645153922745, 0.606453405198714]"
"209","Lavender Dark","RGBColor[0.6881078534796319, 0.478591548302273, 0.6913332377111205]"
"210","Lavender Medium","RGBColor[0.7886560885393479, 0.6289970618252632, 0.8003566603490607]"
"211","Lavender Light","RGBColor[0.8726000653324881, 0.769362960740436, 0.8859040737776538]"
"221","Shell Pink Very Dark","RGBColor[0.5077234030034894, 0.20523616991639884, 0.23037198755211616]"
"223","Shell Pink Light","RGBColor[0.7727905634947771, 0.4510943502726514, 0.4409821961581498]"
"224","Shell Pink Very Light","RGBColor[0.8545174165256965, 0.6209970720392674, 0.5825935817806123]"
"225","Shell Pink Ultra Very Light","RGBColor[0.9719505884546573, 0.8694386030206229, 0.8328553889049043]"
"300","Mahogany Very Dark","RGBColor[0.42020377447668045, 0.20040932905872816, 0.08036040058246952]"
"301","Mahogany Medium","RGBColor[0.6363409286451785, 0.3208868273564649, 0.1855294671451322]"
"3011","Khaki Green Dark","RGBColor[0.4705284886178672, 0.4512860481571683, 0.2643983652760538]"
"3012","Khaki Green Medium","RGBColor[0.566186656120327, 0.5354195894401758, 0.2961236786006347]"
"3013","Khaki Green Light","RGBColor[0.7349493059376377, 0.7170533124754148, 0.48349473128590215]"
"3021","Brown Gray Very Dark","RGBColor[0.3186970356027604, 0.2753934903609379, 0.2251359889855699]"
"3022","Brown Gray Medium","RGBColor[0.5685176793539417, 0.5609592200493858, 0.461271852475468]"
"3023","Brown Gray Light","RGBColor[0.6527452641732472, 0.6160084928358334, 0.516186280589775]"
"3024","Brown Gray Very Light","RGBColor[0.8386742069868413, 0.8273376459725672, 0.7862749425203654]"
"3031","Mocha Brown Very Dark","RGBColor[0.27513354791397504, 0.21955875683870527, 0.1293715457799877]"
"3032","Mocha Brown Medium","RGBColor[0.7166591761928207, 0.631218575689612, 0.5039743662758716]"
"3033","Mocha Brown Very Light","RGBColor[0.9069396969485628, 0.854737994510953, 0.7751374096998845]"
"304","Red Medium","RGBColor[0.6637591193192033, 0.10523614311729161, 0.21824406443117758]"
"3041","Antique Violet Medium","RGBColor[0.5569555336431875, 0.41249395599866034, 0.46950238526697496]"
"3042","Antique Violet Light","RGBColor[0.7299228873001095, 0.6375711710592481, 0.6767769079105322]"
"3045","Yellow Beige Dark","RGBColor[0.7222973733169572, 0.5658120544090137, 0.3341447891436439]"
"3046","Yellow Beige Medium","RGBColor[0.8522873042755701, 0.7461562040421252, 0.5277069359578317]"
"3047","Yellow Beige Light","RGBColor[0.9143282551748904, 0.859756369183958, 0.7084853710815571]"
"3051","Green Gray Dark","RGBColor[0.339548814827875, 0.35814443129647083, 0.2027088217247054]"
"3052","Green Gray Medium","RGBColor[0.5576078659082472, 0.5824556248061471, 0.3898557490596936]"
"3053","Green Gray","RGBColor[0.6435984384369311, 0.6594707955100391, 0.4765777537899522]"
"3064","Desert Sand","RGBColor[0.7147203327242336, 0.4575519173428111, 0.33697443641923536]"
"307","Lemon","RGBColor[0.9924956550703079, 0.9136679683103983, 0.23537768148494034]"
"3072","Beaver Gray Very Light","RGBColor[0.8615463153748159, 0.8684228951508923, 0.8426745237363351]"
